t_date,base_beta,base_Xty,base_train_rows,base_train_rows_used,base_fill_ratio,base_n_test,base_ic_model,base_ic_base,clean_beta,clean_Xty,clean_train_rows,clean_train_rows_used,clean_fill_ratio,clean_n_test,clean_ic_model,clean_ic_base,rank_beta,rank_Xty,rank_train_rows,rank_train_rows_used,rank_fill_ratio,rank_n_test,rank_ic_model,rank_ic_base,ref_n_test,ref_ic_model,ref_ic_base,ref_alpha,sign_flip,ic_opposite,ref_opposite
2015-01-30,0.001990805233853338,64.10142460638016,32690,32690,0.015539920464973999,705,0.15403213544035377,0.15403213544035377,0.002045272953021837,65.81893094646865,32182,32182,0.015539920464973999,705,0.15403213544035377,0.15403213544035377,0.004891247114615283,159.8899818209061,32690,32690,0.015539920464973999,705,0.15403213544035377,0.15403213544035377,705,0.1540321354403537,0.1540321354403537,0.001,False,False,False
2015-02-27,0.0020528086970678593,67.42370633459655,33345,33345,0.015504573399310242,713,-0.09174706805362672,-0.09174706805362672,0.002104049503496806,69.06963515533914,32828,32828,0.015504573399310242,713,-0.09174706805362672,-0.09174706805362672,0.005084439999652951,169.53557243286798,33345,33345,0.015504573399310242,713,-0.09174706805362672,-0.09174706805362672,713,-0.0917470680536267,-0.0917470680536267,0.001,False,False,False
2015-03-31,0.0020581130333182113,68.94578514086395,34009,34009,0.015466494163309712,719,-0.3394537833031795,-0.3394537833031795,0.0021078624992412003,70.57545430745638,33483,33483,0.015466494163309712,719,-0.3394537833031795,-0.3394537833031795,0.00499549562773321,169.8868203034466,34009,34009,0.015466494163309712,719,-0.3394537833031795,-0.3394537833031795,719,-0.3394537833031795,-0.3394537833031795,0.001,False,False,False
2015-04-30,0.002126044241554581,72.63670995873179,34685,34685,0.015453366008360963,735,-0.38314053852793345,-0.38314053852793345,0.0021633224374713817,73.87313675809516,34149,34149,0.015453366008360963,735,-0.38314053852793345,-0.38314053852793345,0.005146200180447227,178.49081220483174,34685,34685,0.015453366008360963,735,-0.38314053852793345,-0.38314053852793345,735,-0.3831405385279334,-0.3831405385279334,0.001,False,False,False
2015-05-29,0.0020753693990305804,72.30188242709805,35369,35369,0.015465520653679777,754,-0.5536245098129099,-0.5536245098129099,0.0021032731347368685,73.23807592794563,34822,34822,0.015465520653679777,754,-0.5536245098129099,-0.5536245098129099,0.0047104187735102195,166.59809589192815,35369,35369,0.015465520653679777,754,-0.5536245098129099,-0.5536245098129099,754,-0.5536245098129099,-0.5536245098129099,0.001,False,False,False
2015-06-30,0.0024901287006469635,88.45133142897049,36062,36062,0.015445621429759858,768,-0.3069019487625949,-0.3069019487625949,0.0024972614832889867,88.66277419995365,35505,35505,0.015445621429759858,768,-0.3069019487625949,-0.3069019487625949,0.006078153355109912,219.18429421677195,36062,36062,0.015445621429759858,768,-0.3069019487625949,-0.3069019487625949,768,-0.3069019487625949,-0.3069019487625949,0.001,False,False,False
2015-07-31,0.0023114215777877757,83.71076183870548,36767,36767,0.015421437702287377,786,-0.18488917956121836,-0.18488917956121836,0.002325865075903724,84.19399220850396,36200,36200,0.015421437702287377,786,-0.18488917956121836,-0.18488917956121836,0.00569215126480346,209.27763909391518,36767,36767,0.015421437702287377,786,-0.18488917956121836,-0.18488917956121836,786,-0.1848891795612183,-0.1848891795612183,0.001,False,False,False
2015-08-31,0.0023660971392318944,87.3595226426126,37481,37481,0.015367786345081508,794,0.03197654156632763,0.03197654156632763,0.0023774772763050403,87.73842378223847,36905,36905,0.015367786345081508,794,0.03197654156632763,0.03197654156632763,0.005878539199892931,220.3276550905262,37481,37481,0.015367786345081508,794,0.03197654156632763,0.03197654156632763,794,0.0319765415663276,0.0319765415663276,0.001,False,False,False
2015-09-30,0.002273662139905481,85.56798045509761,38199,38199,0.015209822246655671,806,0.21276713869924402,0.21276713869924402,0.0022853463216997365,85.96787486872533,37618,37618,0.015209822246655671,806,0.21276713869924402,0.21276713869924402,0.005620352347529218,214.68622459127346,38199,38199,0.015209822246655671,806,0.21276713869924402,0.21276713869924402,806,0.212767138699244,0.212767138699244,0.001,False,False,False
2015-10-30,0.0017441555955693185,66.89851730216161,38934,38934,0.01533364154723378,821,-0.00011659836363293354,-0.00011659836363293354,0.0017805406648728173,68.25880870910498,38337,38337,0.01533364154723378,821,-0.00011659836363293354,-0.00011659836363293354,0.004788760100767099,186.4408017919256,38934,38934,0.01533364154723378,821,-0.00011659836363293354,-0.00011659836363293354,821,-0.0001165983636329,-0.0001165983636329,0.001,False,False,False
2015-11-30,0.0010231514072049056,39.99983069762483,39686,39686,0.015471450889482437,833,-0.2598093955346389,-0.2598093955346389,0.001100238027611353,42.987401077041206,39072,39072,0.015471450889482437,833,-0.2598093955346389,-0.2598093955346389,0.003964489791241688,157.33078132991625,39686,39686,0.015471450889482437,833,-0.2598093955346389,-0.2598093955346389,833,-0.2598093955346389,-0.2598093955346389,0.001,False,False,False
2015-12-31,-0.0008514205295239625,-33.933624106319925,40453,40453,0.015499468519022074,849,0.18648862865367494,-0.18648862865367494,-0.0007276574266188143,-28.978957742751696,39826,39826,0.015499468519022074,849,0.18648862865367494,-0.18648862865367494,0.0025832213932256718,104.49647438198632,40453,40453,0.015499468519022074,849,-0.18648862865367494,-0.18648862865367494,849,0.1864886286536749,-0.1864886286536749,0.001,True,True,True
2016-01-29,-0.0013443652959116699,-54.61941764751417,41236,41236,0.015568920360849742,867,-0.1039232982218309,0.1039232982218309,-0.0012200502415297839,-49.52550067446876,40594,40594,0.015568920360849742,867,-0.1039232982218309,0.1039232982218309,0.0020152257698349417,83.09783663436961,41236,41236,0.015568920360849742,867,0.1039232982218309,0.1039232982218309,867,-0.1039232982218309,0.1039232982218309,0.001,True,True,True
