t_date,r_mom,r_pool,w_mom,r_vt_mom,cost_vt_mom,turn_vt_mom,w_pool,r_vt_pool,cost_vt_pool,turn_vt_pool
2012-04-27,0.03361962795967499,0.043212364973622686,0.9714678842176451,0.03270149681933356,6.015131766643867e-06,0.004010087844429244,0.9480091767158223,0.04099763793888803,5.394767530722933e-05,0.010789535061445865
2012-05-31,0.013255848161199069,0.020026659124000146,0.9235590148750453,0.012129262224109932,0.00023954434671299873,0.04790886934259975,0.8849970187142487,0.017598409603095395,0.0003150607900078678,0.06301215800157356
2012-06-29,-0.01007465864364221,-0.023100475157194378,0.9569434783383691,-0.009619844234611605,5.00766951949857e-05,0.0333844634633238,0.9020196807336573,-0.0207007947558609,2.5533993029112913e-05,0.017022662019408608
2012-07-31,-0.023617429129112133,-0.03857018895384978,0.9980376100873846,-0.02362948267556402,6.164119762352317e-05,0.04109413174901544,0.923147429430498,-0.035510734139883184,3.1691623045260965e-05,0.021127748696840642
2012-08-31,-0.022475813770228337,-0.026187380209050093,1.0,-0.02247875735509726,2.9435848689231548e-06,0.0019623899126154365,0.9166316911598671,-0.0238990717593681,3.25786913531545e-05,0.0065157382706309
2012-09-28,0.016590856532102682,0.02447486659798148,1.0,0.016590856532102682,-0.0,0.0,0.9150251575262514,0.022527428857047175,8.032668168078683e-06,0.0016065336336157365
2012-10-31,0.0018057080860518493,-0.004421378238332552,1.0,0.0018057080860518493,-0.0,0.0,1.0,-0.004548840502043175,0.00012746226371062298,0.08497484247374865
2012-11-30,-0.04522997598299283,-0.06404768109378844,1.0,-0.04522997598299283,-0.0,0.0,1.0,-0.06404768109378844,-0.0,0.0
2012-12-31,0.07012941734846967,0.12314146807446469,1.0,0.07012941734846967,-0.0,0.0,1.0,0.12314146807446469,-0.0,0.0
2013-01-31,0.036009184971321995,0.04661316656303738,1.0,0.036009184971321995,-0.0,0.0,0.8127132080154975,0.03725602153702255,0.0009364339599225124,0.1872867919845025
2013-02-28,0.022048020190241546,0.02190461092326723,1.0,0.022048020190241546,-0.0,0.0,0.801010599922568,0.017815959668700282,5.851304046464778e-05,0.011702608092929556
2013-03-29,-0.00017126067749539953,-0.01966862056508023,1.0,-0.00017126067749539953,-0.0,0.0,0.8462720596760654,-0.016459002034405992,6.789218963024623e-05,0.04526145975349749
2013-04-26,-0.0011057098777778052,-0.006678946141990605,1.0,-0.0011057098777778052,-0.0,0.0,0.8738646544182802,-0.005669561076088234,4.1388892113322143e-05,0.02759259474221476
2013-05-31,0.09552628358663062,0.09128212244759148,1.0,0.09552628358663062,-0.0,0.0,0.893439266370086,0.08170166430953485,2.936191792770865e-05,0.019574611951805765
2013-06-28,-0.07253509859677332,-0.08421921556708012,1.0,-0.07253509859677332,-0.0,0.0,0.7940498328286663,-0.06703105776448094,0.0004969471677070986,0.09938943354141971
2013-07-31,0.052460986285485456,0.03720095210037222,0.9273680777053553,0.048407441919408795,0.0003631596114732233,0.07263192229464466,0.7160149610781743,0.026715288291774955,0.0003901743587524598,0.07803487175049195
2013-08-30,0.024969193462068162,0.027237982819450668,0.9134566756022063,0.022881652778194796,6.955701051574504e-05,0.013911402103149006,0.7286738555370528,0.02027673480332991,1.89883416883177e-05,0.012658894458878467
2013-09-30,0.08703150194752474,0.054414955679902954,0.9380587816630589,0.08170606248213337,3.6903159091278836e-05,0.024602106060852558,0.7423982625961706,0.040802432158257226,2.0586610588676725e-05,0.013724407059117816
2013-10-31,-0.07356518989797456,-0.040805387189617015,0.8587093004174406,-0.06333450708102822,0.00039674740622809123,0.07934948124561825,0.7295931448266613,-0.029388757448474447,6.402558884754661e-05,0.012805117769509322
2013-11-29,0.05084849393943558,0.037177700908267663,0.7536823901309108,0.03820529345419176,0.0005251345514326495,0.10502691028652988,0.7038507723761908,0.02652795616412445,0.00012871186225235255,0.025742372450470508
2013-12-31,-0.026655395337812693,-0.022041759911752834,0.791190954316063,-0.020800905405750296,5.626284627772837e-05,0.03750856418515225,0.7685899097231446,-0.016655990388556842,9.710870602043071e-05,0.0647391373469538
2014-01-30,0.06624507012883618,0.01743436303169066,0.7946200194071996,0.052973717049506215,5.143597636704911e-06,0.003429065091136607,0.9004230748434237,0.01566501240894231,0.00019774974768041866,0.1318331651202791
2014-02-28,-0.008294638941908627,-0.007397914048143606,0.7709827193266057,-0.006134969129091249,0.00011818650040296975,0.023637300080593948,0.9233415687700154,-0.00673857167207456,3.43777408898876e-05,0.022918493926591732
2014-03-31,-0.06682347844866565,-0.044805159833930075,0.7639227567597342,-0.050693374924869215,3.5299812834357346e-05,0.007059962566871469,0.9222672342645235,-0.04119932053091081,5.371672527459403e-06,0.0010743345054918807
2014-04-30,-0.02946603113499624,-0.009970027977387441,0.7041180565026843,-0.0205579149914504,0.00029902350128524935,0.05980470025704987,0.8877948903770962,-0.008838385753645305,0.0001723617194371363,0.03447234388742726
2014-05-30,0.018835883822007737,0.010667946142298268,0.6925167757574298,0.013493992673045232,5.800640372627286e-05,0.011601280745254572,0.8863372071075359,0.009635832516455682,7.28841634780153e-06,0.001457683269560306
2014-06-30,0.045804963054263625,0.02847730821396377,0.7674225681352916,0.03542352422959473,0.00011235868856679283,0.07490579237786188,1.0,0.028306814024625072,0.0001704941893386961,0.11366279289246406
2014-07-31,0.01143900412871246,0.030695769744188972,0.825917043480814,0.009647438913302815,8.774171301828348e-05,0.05849447534552232,1.0,0.030695769744188972,-0.0,0.0
2014-08-29,0.03980157990402122,0.022551473915330078,0.8515792845620137,0.03410083645591742,3.8493361621799615e-05,0.025662241081199744,1.0,0.022551473915330078,-0.0,0.0
2014-09-30,0.09352512225975929,0.06189156005492702,0.8413721164709449,0.07890038106484196,5.103584045534404e-05,0.010207168091068808,1.0,0.06189156005492702,-0.0,0.0
2014-10-31,0.004410518245404393,0.005126694750012151,0.8266873415147701,0.0038589356743551637,7.342387478087409e-05,0.014684774956174818,1.0,0.005126694750012151,-0.0,0.0
2014-11-28,0.06251540568619718,0.054633413331684366,0.9532244291010304,0.05947865992214861,0.00018980563137939056,0.12653708758626037,1.0,0.054633413331684366,-0.0,0.0
2014-12-31,0.0023967351270093307,0.04904918507755385,0.934415594263422,0.0022538204820204814,9.404417418804212e-05,0.018808834837608424,1.0,0.04904918507755385,-0.0,0.0
2015-01-30,0.04650510897433824,0.03868801428321733,0.9721546917207393,0.04519954002270143,5.660864618597594e-05,0.037739097457317294,1.0,0.03868801428321733,-0.0,0.0
2015-02-27,0.06599735562359754,0.05993267172481098,1.0,0.06595558766117865,4.176796241889102e-05,0.027845308279260683,1.0,0.05993267172481098,-0.0,0.0
2015-03-31,0.1648134406618904,0.14780573865087554,0.980558198649594,0.16154407119749897,9.720900675202981e-05,0.019441801350405963,1.0,0.14780573865087554,-0.0,0.0
2015-04-30,0.14938876872815787,0.12021298570606209,0.8538299432690534,0.12716037438389152,0.0006336412769027033,0.12672825538054067,1.0,0.12021298570606209,-0.0,0.0
2015-05-29,0.15371435446539627,0.1698572790057835,0.810753833252506,0.12472167698913202,0.0002153805500827366,0.04307611001654732,1.0,0.1698572790057835,-0.0,0.0
2015-06-30,-0.13338694512644544,-0.11872489174419254,0.743838328321074,-0.09912982798015361,0.0003345775246571603,0.06691550493143206,0.8308109911162892,-0.09920446062102255,0.000845945044418554,0.1691890088837108
2015-07-31,-0.16417029331580868,-0.11782324458215065,0.5230427478604825,-0.08618432555581607,0.0011039779023029573,0.22079558046059145,0.5828408193878303,-0.0692230749712123,0.0012398508586422947,0.24797017172845892
2015-08-31,-0.13122788059796653,-0.10690928716931292,0.416330409394608,-0.054203741163324215,0.0005335616923293726,0.10671233846587452,0.48494677319830076,-0.05148413178975708,0.0004894702309476476,0.09789404618952952
2015-09-30,0.0020629499229642967,-0.0035665525083813376,0.3758160232716429,0.0016036082905649212,0.00020257193061482576,0.04051438612296515,0.4372724054648108,-0.0008685364600150483,0.00023837183866744994,0.047674367733489986
2015-10-30,0.15070888980541142,0.12700996596344072,0.38194083251171995,0.0585734665898398,9.187213860115618e-06,0.006124809240077078,0.43769180273030067,0.056519289575881364,6.290958982348438e-07,0.00041939726548989587
2015-11-30,0.07345330914834536,0.054993495236811185,0.3626147192092385,0.02759131411717743,9.663056651240731e-05,0.019326113302481462,0.42081610584881946,0.02401433931811651,8.437848440740608e-05,0.016875696881481217
2015-12-31,0.040465588978034095,0.03461851182297759,0.3616889702803686,0.015685551026103823,4.62874464434937e-06,0.0009257489288698739,0.42079036792355023,0.015523619435559726,1.2868962634610125e-07,2.5737925269220252e-05
2016-01-29,-0.22912502523692213,-0.203638980057799,0.36272772256290403,-0.08205904973713325,1.5581284238031234e-06,0.0010387522825354156,0.4211762108912705,-0.08481249822775978,5.787644515803936e-07,0.0003858429677202624
2016-02-29,-0.01896907553698235,-0.017552273172559807,0.30619965491883416,-0.0049450970445717906,0.00028264033822034937,0.05652806764406987,0.35064400626276565,-0.0054347961898411155,0.00035266102314252424,0.07053220462850485
2016-03-31,0.13148411809146898,0.11071543039435472,0.3080088869786273,0.041638442603991126,2.7138480896897466e-06,0.0018092320597931644,0.35240173601981767,0.04008323446446198,2.6365946355780267e-06,0.0017577297570520178
2016-04-29,-0.011343570656239699,-0.01174529060349394,0.31507902214042416,-0.0024535236723657178,1.0605202742695246e-05,0.007070135161796831,0.3625527762700221,-0.003220718361096849,1.5226560375306619e-05,0.010151040250204413
2016-05-31,0.003171269118956266,0.0013535139952918218,0.33473921609242985,0.0021307901195720767,2.9490290928008535e-05,0.01966019395200569,0.38080668344431223,0.0015106944186784482,2.7380860761435228e-05,0.01825390717429015
2016-06-30,0.033645659971232256,0.03764724188633406,0.36461344200151174,0.013272241110341608,4.4811338863622846e-05,0.029874225909081897,0.43561890678975657,0.017249753279859538,8.22183350181665e-05,0.05481222334544433
2016-07-29,0.0006736313797361948,-0.001688903474772463,0.3782685506514586,0.0012611709392710444,2.0482662974920268e-05,0.013655108649946845,0.45297056343150827,0.0001124125455247342,2.602748496262755e-05,0.0173516566417517
2016-08-31,0.019130432101620576,0.018813310354274027,0.4176880879712168,0.008893159766401601,5.912930597963734e-05,0.039419537319758224,0.48591037029733153,0.009941233710393198,4.9409710298734896e-05,0.03293980686582326
