t_date,phase,n_test,n_rounds,valid_ic,ic_model,ic_base_ret12,ic_base_sharpe,top20_ret,bot20_ret,pool_ret,bench_ret6m,top20_excess_hs300,top20_excess_pool,train_rows,train_label_end_max
2015-08-31,dev,242,10,0.04364403917875389,0.015850609021469106,0.14554542025307776,0.2467014755459368,-0.02170593400220611,-0.025158478627441777,-0.030394343149057895,-0.10344520302174098,0.08173926901953488,0.008688409146851785,12242,2015-08-06
2015-09-30,dev,249,8,0.041193561254256626,0.00817164111473713,0.21149815759850532,-0.0043956471045472215,0.09760188662592378,0.08301931786865699,0.09071267686095694,0.008475941538857334,0.08912594508706645,0.006889209764966847,12463,2015-08-27
2015-10-30,dev,249,10,0.03689621272960745,-0.04991710051287555,0.10540380878352118,0.31852467936261175,-0.04585487836230321,-0.04280899835309024,-0.0426771751780668,-0.09059191942228795,0.04473704105998474,-0.003177703184236408,12685,2015-09-30
2015-11-30,dev,255,10,0.03660280800015661,-0.09946253087694193,-0.11776059075009716,0.29430870773506257,-0.12710146447373577,-0.09402795228466579,-0.10632885208501303,-0.10573259623397402,-0.02136886823976175,-0.020772612388722744,12914,2015-11-05
2015-12-31,dev,264,6,0.02530101462221362,-0.04499565156820541,-0.08034977038277079,0.29122475200386094,-0.10434228381438089,-0.09322774253261898,-0.09705597662946283,-0.14439139052346484,0.040049106709083945,-0.007286307184918059,13146,2015-12-03
2016-01-29,dev,266,4,0.015052872691304314,0.1358213099124765,0.16708450456208543,0.013127051251193494,0.15054309989447698,0.11965966014056909,0.1267166079060256,0.08791992098001078,0.0626231789144662,0.02382649198845138,13381,2016-01-04
2016-02-29,dev,275,7,0.011330905841564055,0.030407449324357752,0.05317755229932958,-0.03978419549349413,0.18464848804134742,0.18976729079344054,0.1786432790927996,0.14954611121517636,0.03510237682617107,0.0060052089485478355,13622,2016-02-04
2016-03-31,dev,280,6,0.01970087873607653,0.06231586222260074,0.24934804012499823,0.19535343927491786,0.07117848226351856,0.06750915968719824,0.05724282228775059,0.023548454858909995,0.04763002740460856,0.013935659975767963,13864,2016-03-11
2016-04-29,dev,296,5,0.009059903079135637,0.1738223093161461,0.1555652305595517,0.13883174391648967,0.07495105522699262,0.05424979319472482,0.07142448494006463,0.06330793269649604,0.011643122530496583,0.003526570286927988,14113,2016-04-11
2016-05-31,dev,313,3,0.01439553638222231,0.06584562112244216,0.0988891151227357,0.1971806403238405,0.05662445972765808,0.04951929109874448,0.061909774116424655,0.09136694052171279,-0.03474248079405471,-0.005285314388766574,14362,2016-05-05
2016-06-30,dev,348,1,0.02019161742770211,0.08359740829008135,0.3025608921422625,0.26691044129719155,0.0033915480653418997,-0.00863847569835741,0.005695067939883245,0.06797602095930744,-0.06458447289396554,-0.002303519874541345,14617,2016-06-03
