t_date,n,n_short,n_full,ic_all,ic_short,ic_full,short_share_top,short_share_pool,ret_pool_top,ret_group_top,ret_diff_group_minus_pool
2011-11-30,126,38,88,0.1706276715410574,0.09202319728635518,0.2175865591208482,0.28,0.30158730158730157,0.003960241967768727,0.0018012230276704315,-0.0021590189400982956
2011-12-30,126,36,90,0.11913610798650168,0.08880308880308882,0.13864263077746222,0.28,0.2857142857142857,0.07276528203946045,0.07276528203946045,0.0
2012-01-31,127,36,91,0.07534800337457817,-0.06332046332046333,0.13419334288899507,0.24,0.28346456692913385,0.023659570857125337,0.032283800811682944,0.008624229954557607
2012-02-29,131,40,91,0.15637110980622432,0.10600375234521578,0.19582736104475237,0.3076923076923077,0.3053435114503817,-0.0680490643918692,-0.0680490643918692,0.0
2012-03-30,134,39,95,0.12229828302098529,0.1368421052631579,0.10943449048152296,0.25925925925925924,0.291044776119403,0.01976771478542069,0.01793965944764881,-0.0018280553377718785
2012-04-27,135,38,97,0.23841576431567651,0.2554984133931502,0.235640648011782,0.25925925925925924,0.2814814814814815,-0.013194119788300459,-0.01741965948466019,-0.004225539696359732
2012-05-31,138,40,98,0.36570096509273053,0.4671669793621014,0.3251853693679908,0.35714285714285715,0.2898550724637681,-0.12347925155166972,-0.12137871779571871,0.0021005337559510118
2012-06-29,140,41,99,0.2083007150510595,0.2820557491289199,0.16403215831787257,0.32142857142857145,0.29285714285714287,0.015332068988778634,0.014521851143782785,-0.0008102178449958496
2012-07-31,145,43,102,-0.150928987561014,-0.12216852914527332,-0.16970783314767798,0.27586206896551724,0.296551724137931,0.09085452467426286,0.08717524026100633,-0.003679284413256531
2012-08-31,148,44,104,0.054553800479016215,-0.10810429880197323,0.10438493545289663,0.23333333333333334,0.2972972972972973,0.12631210867845857,0.12339464508160372,-0.0029174635968548523
2012-09-28,149,44,105,0.19027027027027027,-0.009302325581395349,0.2542297325316193,0.23333333333333334,0.2953020134228188,0.09396653890794668,0.09093308581512609,-0.00303345309282059
2012-10-31,151,45,106,0.0891390728476821,-0.05612648221343873,0.15131118220520445,0.26666666666666666,0.2980132450331126,0.14547484790856444,0.14569125620775186,0.0002164082991874261
2012-11-30,156,47,109,-0.15099808759147157,-0.19692414431082333,-0.06957649893429711,0.25806451612903225,0.30128205128205127,0.23843674188189828,0.24430978115783814,0.005873039275939851
2012-12-31,161,47,114,-0.05359730848861285,-0.1657030527289547,-0.01338571515360159,0.28125,0.2919254658385093,0.11803079688280485,0.11803079688280485,0.0
2013-01-31,164,50,114,0.23851835729734874,0.13728691476590635,0.29420627366801,0.2727272727272727,0.3048780487804878,0.1436766928313137,0.147616276358198,0.003939583526884283
2013-02-28,164,49,115,0.3146055799654483,0.19459183673469385,0.3660853783634499,0.3333333333333333,0.29878048780487804,0.1282511081907405,0.12716912251480741,-0.0010819856759330948
2013-03-29,166,50,116,0.26072761377573445,0.1472749099639856,0.309760504363203,0.3333333333333333,0.30120481927710846,0.20801793579150085,0.2044808580703572,-0.0035370777211436444
2013-04-26,170,52,118,0.2231483686592046,0.04670024758814991,0.27287733867993086,0.35294117647058826,0.3058823529411765,0.10368764634861571,0.09331647811507612,-0.01037116823353959
2013-05-31,174,51,123,0.18140949343660126,0.021085972850678734,0.253717867691633,0.37142857142857144,0.29310344827586204,0.027984533028581712,0.020370987053819997,-0.007613545974761715
2013-06-28,174,51,123,0.18555995330163158,0.05312217194570135,0.260160451948253,0.42857142857142855,0.29310344827586204,0.13084753291164997,0.12022244298924882,-0.010625089922401146
2013-07-31,176,51,125,0.33395553598943434,0.30244343891402714,0.3329585253456221,0.45714285714285713,0.2897727272727273,0.1495263414894345,0.1429761402246756,-0.006550201264758887
2013-08-30,178,52,126,0.2826564559663549,0.316229830103304,0.26199625046869146,0.4722222222222222,0.29213483146067415,0.06273729264286237,0.07467622593920208,0.011938933296339702
2013-09-30,182,56,126,-0.1516973199791785,-0.2004101161995899,-0.1450708661417323,0.4166666666666667,0.3076923076923077,-0.03431630745702238,-0.0383054008080462,-0.00398909335102382
2013-10-31,184,58,126,0.0694534877001021,-0.03454428004552586,0.0942512185976753,0.35135135135135137,0.31521739130434784,-0.022214247809721754,-0.023771872879909794,-0.0015576250701880394
