fund_code,fund_name,date_start,date_end,ann_return,ann_vol,sharpe,max_drawdown,drawdown_recovery_days,drawdown_repaired,var_95,cvar_95,downside_dev,cum_return,alpha_ann,beta,r_squared,alpha_t,alpha_p,reg_days
163302,,2023-09-15,2026-09-14,0.12959083639224156,0.1859532844729424,0.6665944817205914,-0.15852654235128438,53.0,True,-0.01717,-0.026470270270270255,0.12913212963894535,0.4409695848391344,0.06913379720957052,0.9221918137484332,0.8121387175521636,1.3977027120211425,0.16263105231480618,725
163418,,2023-09-15,2026-09-14,0.10528890386326806,0.25576755429891923,0.45685825510494404,-0.27514634087239365,,False,-0.025239999999999967,-0.03708918918918918,0.17952284900533716,0.3500136435853436,0.047279717658180793,1.1681691037105233,0.6888337807000442,0.574591742864548,0.5657461734382149,725
163803,,2023-09-15,2026-09-14,0.0978114699804129,0.19794609689055515,0.4873431549984232,-0.2188737442031059,25.0,True,-0.01804,-0.0264135135135135,0.129752979786251,0.32281792963277933,0.03739321414034768,0.991950582238477,0.829240261956115,0.7299727100025516,0.46564330767893214,725
163805,,2023-09-15,2026-09-14,-0.04131954389095238,0.2350962803709475,-0.15392680947795254,-0.31315183425953264,,False,-0.021959999999999997,-0.034670270270270254,0.16740269332704863,-0.1188309145723695,-0.10216160074702901,1.1022268151616665,0.7258435713619682,-1.3006675007577102,0.1937866979066231,725
163807,,2023-09-15,2026-09-14,0.10365878475158952,0.2372801118063679,0.46630474409912764,-0.2720393792561502,,False,-0.02317,-0.03318918918918917,0.16243233918867675,0.3440533785966249,0.04691798796768469,1.0714629334337544,0.6733273014652146,0.5604668315704543,0.5753346848310155,725
165508,,2023-09-15,2026-09-14,0.09779536870298955,0.11687831375114777,0.7171191831085655,-0.13116918471706163,,False,-0.01117,-0.016821621621621603,0.08301904522879976,0.3227597661808972,0.0603996983554343,0.3964266570469614,0.3798876266959368,1.1515462683203446,0.24988822825218915,725
165526,,2023-09-15,2026-09-14,0.010129919259698195,0.02331785422958553,-0.3968834497072999,-0.02491037700484,236.0,True,-0.002,-0.0032534883720930154,0.01618535177574271,0.030677311930247697,-0.015638734944867616,0.10711673800497269,0.6968367822591541,-1.9203536571638768,0.05520632318162641,725
165528,,2023-09-15,2026-09-14,0.303449220749205,0.3681767170798769,0.8770816578332506,-0.361913805258703,,False,-0.0321,-0.04975526315789472,0.23782699756396203,1.2133292193039722,0.24138187108578651,1.3787208954743764,0.4630601167707914,1.5117355030362851,0.1310381076392771,725
165531,,2023-09-15,2026-09-14,0.2114486340521562,0.2737055590018624,0.7932961770375245,-0.4072334961290329,236.0,True,-0.024159999999999928,-0.04307837837837837,0.19894466034982092,0.7772313121920342,0.17806010141279424,0.6645732639765605,0.19467734384648416,1.131118180051187,0.2583804052045233,725
166001,,2023-09-15,2026-09-14,0.18238569014125838,0.21347925492958034,0.8289103231257328,-0.18670709675892516,126.0,True,-0.0202,-0.030505263157894726,0.14677241569263985,0.6524491051940049,0.11494156736229913,1.0459052184438387,0.7926309069202075,1.8479127179209498,0.06502321635965205,725
166005,,2023-09-15,2026-09-14,0.1321263472076024,0.20440342474563658,0.6354238252803172,-0.24752584623731866,202.0,True,-0.01876999999999993,-0.02826756756756754,0.14135698611696382,0.45068802308392564,0.07562858931176311,0.9141495799376497,0.6604717233852639,1.0774230453110667,0.2816506655623778,725
166009,,2023-09-15,2026-09-14,0.052259445695773454,0.19841014049836528,0.264853681314128,-0.2409094623394037,246.0,True,-0.01869,-0.028043243243243234,0.13465722462257132,0.16499234583301137,-0.00559053773555771,0.9749048144930906,0.7972419469821683,-0.09808798900139785,0.9218896112860558,725
166011,,2023-09-15,2026-09-14,0.02488035297678981,0.3641287151562748,0.1970538284194781,-0.3852988188362747,,False,-0.0329,-0.04973421052631579,0.2492220752783594,0.0764592329486875,-0.0006607186727778238,1.2147471545134194,0.36749798205566064,-0.0038212324360467494,0.9969521591349797,725
166020,,2023-09-15,2026-09-14,0.1665068877864706,0.1961162963216055,0.8123327580243804,-0.24002863205080505,183.0,True,-0.01857,-0.02625405405405403,0.13326240963296035,0.5868087143752136,0.10617163484230228,0.8968981489622146,0.6906477650248566,1.646292732732247,0.10013808498756507,725
166801,,2023-09-15,2026-09-14,0.05032284601016723,0.2226253140573852,0.24896847531269914,-0.25021316035487806,249.0,True,-0.021309999999999968,-0.02896756756756754,0.1401647572490691,0.15857633214641642,-0.003772239987131625,0.9921384188599359,0.6558258561995349,-0.05047003919588224,0.9597617638717588,725
167002,,2023-09-15,2026-09-14,0.37732701768711463,0.33786282875674467,1.0952020436350194,-0.31527002500729506,,False,-0.03270999999999993,-0.04639189189189189,0.22742697992256494,1.6111132167310869,0.2948157967836727,1.274646833777496,0.47000039935918814,1.9321523926542197,0.053731068902074366,725
168103,,2023-09-15,2026-09-14,0.01472655903331832,0.24632436294975013,0.10258780699143137,-0.2642260455053501,15.0,True,-0.01957,-0.029624324324324307,0.1587554284182736,0.044802121273452844,-0.04320049595084859,1.1508131580586953,0.7207595855144232,-0.5760932072555244,0.5647314630673967,725
168104,,2023-09-15,2026-09-14,-0.06131803702716665,0.20244231972967955,-0.32343955692048726,-0.3132507021476192,,False,-0.01767,-0.026370270270270255,0.13066197934869084,-0.17279747994335204,-0.1125950515406903,0.7859559248855328,0.49772145962653314,-1.257953860549932,0.2088145622067036,725
169101,,2023-09-15,2026-09-14,0.14241504005849315,0.32431517606970967,0.5272436661556467,-0.36461643570393765,,False,-0.02887,-0.04665945945945945,0.22185532964126375,0.4905721450468352,0.09283419646375023,1.3141079424419921,0.5421528340876085,0.714645211455946,0.4750589745027387,725
169102,,2023-09-15,2026-09-14,0.06841229675191429,0.24810339671537585,0.321060179344394,-0.2660052326818034,,False,-0.02346999999999997,-0.0358,0.17489506399918553,0.21943209535374453,0.013248719869587141,1.1148022701732367,0.6666901189210064,0.14271900236500942,0.8865518718397317,725
180001,,2023-09-15,2026-09-14,0.080110936196367,0.17886946384953675,0.4251769282006633,-0.18262820819033554,,False,-0.01577,-0.024935135135135126,0.12018960536570629,0.2599008430668148,0.026791601357290105,0.827674885557079,0.7070359047690566,0.4518620263357422,0.6515039051612233,725
200010,,2023-09-15,2026-09-14,0.1721027849331327,0.2429504677174259,0.7182290568171827,-0.32881256371237244,246.0,True,-0.02386999999999997,-0.03398378378378377,0.16440577857091973,0.6097390522643231,0.1064651504322609,1.1462522862843005,0.7350576265360997,1.3255027217699384,0.18542314369108076,725
200016,,2023-09-15,2026-09-14,0.10928736057959787,0.16645166841688597,0.6105824179471242,-0.13181494402840732,,False,-0.01621,-0.0246135135135135,0.1126693256674365,0.3647078849873162,0.06312187235601421,0.6493379892353197,0.5025288341803567,0.8673763814972981,0.3860236008366603,725
202001,,2023-09-15,2026-09-14,0.12617789455228356,0.1995495848089776,0.618570509311139,-0.24080305096013122,,False,-0.01834,-0.030381081081081066,0.1385339469964903,0.4279566592569657,0.07013167617997244,0.897980124616494,0.6686944763080147,0.9832043086055585,0.32583579088484355,725
202007,,2023-09-15,2026-09-14,0.09439596624148106,0.17237929956389694,0.5139780409518778,-0.15624334874676327,241.0,True,-0.015579999999999997,-0.023251351351351333,0.11724154940907433,0.3105180607761915,0.03765382043309456,0.8558263022788285,0.813945768146405,0.8207146021084808,0.4120793623875463,725
202009,,2023-09-15,2026-09-14,0.054599799050106146,0.2015899274343219,0.2758074309943623,-0.20214170675087728,25.0,True,-0.02016999999999997,-0.029210810810810797,0.14232701829783254,0.17277755241898762,-0.004658948513629078,1.0098495376673127,0.8286457334882408,-0.09060529334233496,0.9278313207903933,725
206007,,2023-09-15,2026-09-14,-0.00868716477595044,0.1987198639749376,-0.047268160479882804,-0.22640605495303923,262.0,True,-0.01837,-0.026340540540540528,0.13491061873752944,-0.025818296089738957,-0.05825488809448583,0.8165143231291481,0.5574906784849876,-0.7996779786137197,0.42416004381406297,725
210003,,2023-09-15,2026-09-14,-0.00838474012065249,0.3161739768476866,0.0673162022186721,-0.40847195427963967,,False,-0.02997,-0.046889189189189176,0.22279835184442948,-0.02492703965592047,-0.05544010701090824,1.2844030425485518,0.544933067321199,-0.4123576548505404,0.6801995336170237,725
210005,,2023-09-15,2026-09-14,-0.0005475618610228938,0.2653422505040933,0.05513006540823679,-0.3624243091656628,,False,-0.02386999999999997,-0.039348648648648635,0.18640417284323324,-0.0016406634561498823,-0.059032837132210025,1.2317884532235486,0.7116264242952782,-0.6110360282682277,0.5413677795544383,725
210007,,2023-09-15,2026-09-14,0.025648582275302978,0.05932889419886261,0.13613988588357656,-0.05456907609594075,137.0,True,-0.0055,-0.008589473684210524,0.041243853612360167,0.07888006323148988,-0.009583288264333214,0.2962331797468697,0.8232438656736215,-0.6820992246016617,0.49539466601702575,725
210008,,2023-09-15,2026-09-14,0.045378435150615015,0.36459038601023075,0.25356337162229214,-0.3815366090690532,,False,-0.03292,-0.049721621621621616,0.24877748364479893,0.14230225638526361,0.0035353287529994587,1.491224711386989,0.5524194759691433,0.02394730288156549,0.9809012505025821,725
