fund_code,fund_short_name,first_ann,last_ann,n_ann,types,organ_name,est_delist_date,is_onsite
006818,安信盈利驱动股票,2023-05-31,2023-05-31,2,基金合同终止公告/清算报告,安信,2023-05-31,False
006820,凯石源混合,2020-12-25,2021-01-15,2,基金合同终止公告/清算报告,凯石,2020-12-25,False
006822,凯石湛混合,2022-01-15,2022-04-12,2,基金合同终止公告/清算报告,凯石,2022-01-15,False
006857,蜂巢卓睿混合,2023-10-31,2023-10-31,1,清算报告,蜂巢,2023-10-31,False
006911,长江量化匠心甄选,2023-02-16,2023-02-16,1,清算报告,长江资管,2023-02-16,False
006918,国联安安享稳健养老一年持有混合(FOF),2022-05-30,2022-05-30,1,清算报告,国联安,2022-05-30,False
006930,泰康港股通TMT指数,2022-04-06,2022-05-31,2,基金合同终止公告/清算报告,泰康资产,2022-04-06,False
006942,华泰柏瑞量化明选,2023-09-21,2023-09-21,1,清算报告,华泰柏瑞,2023-09-21,False
006945,银河臻选多策略混合,2022-02-10,2022-02-10,1,清算报告,银河,2022-02-10,False
006946,宝盈聚享定期开放债券,2026-06-03,2026-06-03,1,基金合同终止公告,宝盈,2026-06-03,False
006967,财通行业龙头混合,2023-12-26,2023-12-26,1,清算报告,财通,2023-12-26,False
006982,嘉实新添元定期混合,2021-05-15,2021-06-28,2,基金合同终止公告/清算报告,嘉实,2021-05-15,False
007003,泰康安业政金债债券,2021-02-04,2021-02-04,1,基金合同终止公告,泰康资产,2021-02-04,False
007006,融通超短债债券,2020-02-22,2020-04-02,5,基金合同终止公告/基金清算公告/清算报告,融通,2020-02-22,False
007030,银华安享短债债券,2020-04-30,2020-08-05,2,基金合同终止公告/清算报告,银华,2020-04-30,False
007056,银华积极精选混合,2026-04-15,2026-05-15,2,基金合同终止公告/清算报告,银华,2026-04-15,False
007063,长盛研发回报混合,2026-07-17,2026-08-15,2,基金合同终止公告/清算报告,长盛,2026-07-17,False
007080,建信中债5-10年国开行债券指数,2022-03-03,2022-03-03,1,清算报告,建信,2022-03-03,False
007087,财通景利债券,2020-12-18,2020-12-30,3,基金合同终止公告/清算报告,财通,2020-12-18,False
007102,民生加银添鑫纯债债券,2022-02-18,2022-03-07,2,基金合同终止公告/清算报告,民生加银,2022-02-18,False
007106,农银可转债债券,2020-12-24,2020-12-24,1,基金清算公告,农银汇理,2020-12-24,False
007155,银河中债央企20债券指数,2026-05-22,2026-05-22,1,清算报告,银河,2026-05-22,False
007248,广发景安纯债,2020-04-09,2020-07-09,2,基金合同终止公告/清算报告,广发,2020-04-09,False
007257,凯石沣混合,2023-05-31,2023-07-05,2,基金合同终止公告/清算报告,凯石,2023-05-31,False
007261,融通消费升级混合,2026-06-16,2026-06-27,2,基金清算公告/清算报告,融通,2026-06-16,False
007264,人保中高等级信用债,2023-06-30,2023-06-30,1,清算报告,人保资产,2023-06-30,False
007266,嘉实新添益定期混合,2024-11-05,2024-12-10,2,基金合同终止公告/基金清算公告,嘉实,2024-11-05,False
007273,鹏华长乐稳健养老混合发起式(FOF),2024-05-14,2024-05-14,1,基金合同终止公告,鹏华,2024-05-14,False
007274,景顺长城养老目标日期2045五年持有期混合FOF,2022-11-26,2022-12-02,2,基金合同终止公告/清算报告,景顺长城,2022-11-26,False
007281,嘉合消费升级混合,2022-06-15,2022-07-21,2,基金合同终止公告/清算报告,嘉合,2022-06-15,False
