t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2008-01-31,dev,ret_12m,short,95,-0.1685330347144457,2701,2008-01-02
2008-01-31,dev,ret_12m,full,74,-0.3500777489818585,2701,2008-01-02
2008-01-31,dev,ret_12m,under12,0,,2701,2008-01-02
2008-01-31,dev,sharpe_12m,all,173,0.18768976178666952,2701,2008-01-02
2008-01-31,dev,sharpe_12m,short,99,0.1868769325912183,2701,2008-01-02
2008-01-31,dev,sharpe_12m,full,74,0.20210292484265086,2701,2008-01-02
2008-01-31,dev,sharpe_12m,under12,0,,2701,2008-01-02
2008-02-29,dev,ret_12m,all,173,-0.25024219977657364,2829,2008-02-01
2008-02-29,dev,ret_12m,short,97,-0.14289659162634125,2829,2008-02-01
2008-02-29,dev,ret_12m,full,76,-0.3507587149692413,2829,2008-02-01
2008-02-29,dev,ret_12m,under12,0,,2829,2008-02-01
2008-02-29,dev,sharpe_12m,all,176,0.20888839973585738,2829,2008-02-01
2008-02-29,dev,sharpe_12m,short,100,0.19596759675967598,2829,2008-02-01
2008-02-29,dev,sharpe_12m,full,76,0.22422419685577583,2829,2008-02-01
2008-02-29,dev,sharpe_12m,under12,0,,2829,2008-02-01
2008-03-31,dev,ret_12m,all,180,-0.09524779571385947,2966,2008-03-12
2008-03-31,dev,ret_12m,short,101,-0.021059988351776356,2966,2008-03-12
2008-03-31,dev,ret_12m,full,79,-0.1689629990262902,2966,2008-03-12
2008-03-31,dev,ret_12m,under12,0,,2966,2008-03-12
2008-03-31,dev,sharpe_12m,all,182,0.22116865111159106,2966,2008-03-12
2008-03-31,dev,sharpe_12m,short,103,0.23142819487765237,2966,2008-03-12
2008-03-31,dev,sharpe_12m,full,79,0.1976387536514119,2966,2008-03-12
2008-03-31,dev,sharpe_12m,under12,0,,2966,2008-03-12
2008-04-30,dev,ret_12m,all,183,-0.026097922035199304,3108,2008-04-10
2008-04-30,dev,ret_12m,short,101,0.0648223645894001,3108,2008-04-10
2008-04-30,dev,ret_12m,full,82,-0.08546924826677986,3108,2008-04-10
2008-04-30,dev,ret_12m,under12,0,,3108,2008-04-10
2008-04-30,dev,sharpe_12m,all,188,0.20731361532362783,3108,2008-04-10
2008-04-30,dev,sharpe_12m,short,106,0.2134821271128801,3108,2008-04-10
2008-04-30,dev,sharpe_12m,full,82,0.21065290974194883,3108,2008-04-10
2008-04-30,dev,sharpe_12m,under12,0,,3108,2008-04-10
2008-05-30,dev,ret_12m,all,191,0.21342656379167815,3257,2008-05-08
2008-05-30,dev,ret_12m,short,109,0.31038828653507555,3257,2008-05-08
2008-05-30,dev,ret_12m,full,82,0.18139767743058957,3257,2008-05-08
2008-05-30,dev,ret_12m,under12,0,,3257,2008-05-08
2008-05-30,dev,sharpe_12m,all,196,0.23006478655499688,3257,2008-05-08
2008-05-30,dev,sharpe_12m,short,114,0.3260808813106256,3257,2008-05-08
2008-05-30,dev,sharpe_12m,full,82,0.1870354044905911,3257,2008-05-08
2008-05-30,dev,sharpe_12m,under12,0,,3257,2008-05-08
2008-06-30,dev,ret_12m,all,195,0.37136707180889794,3415,2008-06-10
2008-06-30,dev,ret_12m,short,110,0.3353830895115299,3415,2008-06-10
2008-06-30,dev,ret_12m,full,85,0.37181942544459645,3415,2008-06-10
2008-06-30,dev,ret_12m,under12,0,,3415,2008-06-10
2008-06-30,dev,sharpe_12m,all,197,0.19697911467309587,3415,2008-06-10
2008-06-30,dev,sharpe_12m,short,112,0.2598660607510165,3415,2008-06-10
2008-06-30,dev,sharpe_12m,full,85,0.1617549345319523,3415,2008-06-10
2008-06-30,dev,sharpe_12m,under12,0,,3415,2008-06-10
2008-07-31,dev,ret_12m,all,199,0.28438708694990106,3584,2008-07-08
2008-07-31,dev,ret_12m,short,110,0.20154182539503643,3584,2008-07-08
