t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2007-12-28,dev,sharpe_12m,all,56,0.214149008885851,1022,2007-11-30
2007-12-28,dev,sharpe_12m,short,28,0.2824302134646962,1022,2007-11-30
2007-12-28,dev,sharpe_12m,full,28,0.08593322386425835,1022,2007-11-30
2007-12-28,dev,sharpe_12m,under12,0,,1022,2007-11-30
2008-01-31,dev,ret_12m,all,56,-0.1963773069036227,1065,2008-01-02
2008-01-31,dev,ret_12m,short,27,-0.06959706959706959,1065,2008-01-02
2008-01-31,dev,ret_12m,full,29,-0.33645320197044326,1065,2008-01-02
2008-01-31,dev,ret_12m,under12,0,,1065,2008-01-02
2008-01-31,dev,sharpe_12m,all,56,0.08557758031442242,1065,2008-01-02
2008-01-31,dev,sharpe_12m,short,27,0.1111111111111111,1065,2008-01-02
2008-01-31,dev,sharpe_12m,full,29,0.03940886699507388,1065,2008-01-02
2008-01-31,dev,sharpe_12m,under12,0,,1065,2008-01-02
2008-02-29,dev,ret_12m,all,56,-0.2620642515379358,1111,2008-02-01
2008-02-29,dev,ret_12m,short,26,-0.1398290598290598,1111,2008-02-01
2008-02-29,dev,ret_12m,full,30,-0.3414905450500556,1111,2008-02-01
2008-02-29,dev,ret_12m,under12,0,,1111,2008-02-01
2008-02-29,dev,sharpe_12m,all,56,0.0758714969241285,1111,2008-02-01
2008-02-29,dev,sharpe_12m,short,26,0.05846153846153846,1111,2008-02-01
2008-02-29,dev,sharpe_12m,full,30,0.10745272525027807,1111,2008-02-01
2008-02-29,dev,sharpe_12m,under12,0,,1111,2008-02-01
2008-03-31,dev,ret_12m,all,59,-0.019170075978959675,1158,2008-03-12
2008-03-31,dev,ret_12m,short,28,0.15599343185550082,1158,2008-03-12
2008-03-31,dev,ret_12m,full,31,-0.1350806451612903,1158,2008-03-12
2008-03-31,dev,ret_12m,under12,0,,1158,2008-03-12
2008-03-31,dev,sharpe_12m,all,60,0.17243678799666579,1158,2008-03-12
2008-03-31,dev,sharpe_12m,short,29,0.28275862068965507,1158,2008-03-12
2008-03-31,dev,sharpe_12m,full,31,0.06895161290322582,1158,2008-03-12
2008-03-31,dev,sharpe_12m,under12,0,,1158,2008-03-12
2008-04-30,dev,ret_12m,all,60,0.047846624062239516,1208,2008-04-10
2008-04-30,dev,ret_12m,short,28,0.1510673234811166,1208,2008-04-10
2008-04-30,dev,ret_12m,full,32,0.003665689149560117,1208,2008-04-10
