t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2016-03-31,dev,ok,42840,809,2003-01-29,2016-03-11,929,929
2016-04-29,dev,ok,43662,824,2003-01-29,2016-04-11,983,983
2016-05-31,dev,ok,44496,836,2003-01-29,2016-05-05,1055,1055
2016-06-30,dev,ok,45342,850,2003-01-29,2016-06-03,1160,1160
2016-07-29,dev,ok,46208,871,2003-01-29,2016-07-08,1201,1201
2016-08-31,dev,ok,47084,880,2003-01-29,2016-08-05,1238,1238
2016-09-30,dev,ok,47989,911,2003-01-29,2016-08-29,1262,1262
2016-10-31,dev,ok,48917,936,2003-01-29,2016-10-10,1272,1272
2016-11-30,dev,ok,49899,989,2003-01-29,2016-11-07,1306,1306
2016-12-30,dev,ok,50953,1062,2003-01-29,2016-12-06,1336,1336
2017-01-26,dev,ok,52112,1166,2003-01-29,2017-01-04,1374,1374
2017-02-28,dev,ok,53312,1207,2003-01-29,2017-02-09,1409,1409
2017-03-31,dev,ok,54550,1245,2003-01-29,2017-03-14,1446,1446
2017-04-28,dev,ok,55812,1269,2003-01-29,2017-04-13,1476,1476
2017-05-31,dev,ok,57084,1279,2003-01-29,2017-05-08,1508,1508
2017-06-30,dev,ok,58390,1314,2003-01-29,2017-06-09,1557,1557
2017-07-31,dev,ok,59726,1345,2003-01-29,2017-07-11,1591,1591
2017-08-31,dev,ok,61100,1383,2003-01-29,2017-08-04,1633,1633
2017-09-29,dev,ok,62509,1417,2003-01-29,2017-08-30,1675,1675
2017-10-31,dev,ok,63955,1454,2003-01-29,2017-10-09,1702,1702
2017-11-30,dev,ok,65431,1483,2003-01-29,2017-11-02,1759,1759
2017-12-29,dev,ok,66939,1517,2003-01-29,2017-11-30,1816,1816
2018-01-31,dev,ok,68496,1565,2003-01-29,2018-01-02,1877,1877
2018-02-28,dev,ok,70087,1600,2003-01-29,2018-01-31,1910,1910
2018-03-30,dev,ok,71720,1642,2003-01-29,2018-03-12,1952,1952
2018-04-27,dev,ok,73395,1685,2003-01-29,2018-04-12,1984,1984
2018-05-31,dev,ok,75097,1711,2003-01-29,2018-05-09,2028,2028
2018-06-29,dev,ok,76856,1771,2003-01-29,2018-06-08,2061,2061
2018-07-31,dev,ok,78672,1833,2003-01-29,2018-07-10,2082,2082
2018-08-31,dev,ok,80549,1893,2003-01-29,2018-08-09,2116,2116
2018-09-28,dev,ok,82459,1928,2003-01-29,2018-08-30,2145,2145
2018-10-31,dev,ok,84411,1972,2003-01-29,2018-10-09,2154,2154
2018-11-30,dev,ok,86395,2009,2003-01-29,2018-11-02,2171,2171
2018-12-28,dev,ok,88423,2058,2003-01-29,2018-12-04,2206,2206
2019-01-31,dev,ok,90484,2093,2003-01-29,2019-01-03,2233,2233
2019-02-28,dev,ok,92566,2127,2003-01-29,2019-02-11,2279,2279
2019-03-29,dev,ok,94682,2164,2003-01-29,2019-03-14,2316,2316
2019-04-30,dev,ok,96827,2203,2003-01-29,2019-04-11,2361,2361
2019-05-31,dev,ok,98979,2219,2003-01-29,2019-05-10,2391,2391
2019-06-28,dev,ok,101148,2242,2003-01-29,2019-06-12,2419,2419
