rank,fund_code,fund_name,score,age_months,age_group,coverage,as_of
1316,013220,中欧新兴价值一年持有混合A,-0.1909415765573429,60.3,full,1.0,2026-09-15
1317,015915,永赢医药创新智选混合发起A,-0.19128489508555235,45.8,full,1.0,2026-09-15
1318,001878,嘉实沪港深精选股票,-0.19209928694276868,123.6,full,1.0,2026-09-15
1319,350009,天治研究驱动混合A,-0.19263734224792384,176.6,full,1.0,2026-09-15
1320,016502,永赢新兴消费智选混合发起A,-0.19348341605955544,45.2,full,1.0,2026-09-15
1321,011868,中信建投远见回报混合A,-0.19370327726402015,61.2,full,1.0,2026-09-15
1322,005004,交银品质升级混合A,-0.19384310135055927,103.2,full,1.0,2026-09-15
1323,016384,永赢消费鑫选6个月持有混合A,-0.19398446362027566,45.5,full,1.0,2026-09-15
1324,160421,华安智增精选混合,-0.19400649910097556,120.0,full,1.0,2026-09-15
1325,005358,东方阿尔法精选混合A,-0.19500251201221486,103.2,full,1.0,2026-09-15
1326,011173,银华心享一年持有期混合,-0.1955964748565886,66.4,full,1.0,2026-09-15
1327,005233,广发睿毅领先混合A,-0.19586286242227302,105.0,full,1.0,2026-09-15
1328,015227,华夏创新研选混合A,-0.19735485040070033,48.8,full,1.0,2026-09-15
1329,009877,中银内核驱动股票A,-0.19779079070235772,72.9,full,1.0,2026-09-15
1330,016549,永赢消费龙头智选混合发起A,-0.1985413118487237,45.2,full,1.0,2026-09-15
1331,010554,华安新兴消费混合A,-0.1986059597955564,69.1,full,1.0,2026-09-15
1332,519714,交银消费新驱动股票,-0.19899753757473948,166.2,full,1.0,2026-09-15
1333,005541,前海开源盛鑫混合A,-0.1991712137511078,101.4,full,1.0,2026-09-15
1334,166011,中欧盛世成长混合(LOF)A,-0.19952730913517713,173.6,full,1.0,2026-09-15
1335,006408,汇添富消费升级混合A,-0.20081631546799683,92.8,full,1.0,2026-09-15
1336,015004,中邮能源革新混合型发起A,-0.2025267612395516,54.3,full,1.0,2026-09-15
1337,013940,东吴医疗服务股票A,-0.20254193702555068,57.5,full,1.0,2026-09-15
1338,010801,长江量化消费精选股票A,-0.20352794581389055,67.6,full,1.0,2026-09-15
1339,015553,融通价值成长混合A,-0.2045605446633244,49.9,full,1.0,2026-09-15
1340,000780,鹏华医疗保健股票,-0.20693798944034458,143.7,full,1.0,2026-09-15
1341,007084,天治转型升级混合,-0.20751793623615578,87.9,full,1.0,2026-09-15
1342,007718,中银创新医疗混合A,-0.20792890664364638,82.1,full,1.0,2026-09-15
1343,012483,前海开源优质龙头6个月持有混合A,-0.20878030816823234,62.2,full,1.0,2026-09-15
1344,350008,天治新消费混合,-0.210432278161102,181.4,full,1.0,2026-09-15
1345,519959,长信多利混合A,-0.21209374321566632,134.5,full,1.0,2026-09-15
1346,001675,江信同福A,-0.21216147816417008,132.6,full,1.0,2026-09-15
1347,006644,弘毅远方消费升级混合A,-0.21276532921193914,91.5,full,1.0,2026-09-15
1348,007151,前海开源沪港深聚瑞混合,-0.2132008649616347,87.1,full,1.0,2026-09-15
1349,015343,长安优势行业混合A,-0.2139168654554935,48.5,full,1.0,2026-09-15
1350,005489,中金衡优灵活配置混合A,-0.21525102726031664,99.3,full,1.0,2026-09-15
1351,006377,广发趋势动力混合A,-0.21913778255047478,92.7,full,1.0,2026-09-15
1352,002567,大成国家安全主题灵活配置混合A,-0.21916926286019278,124.4,full,1.0,2026-09-15
1353,005241,中欧时代智慧混合A,-0.21958834117374026,103.7,full,1.0,2026-09-15
1354,013023,平安均衡优选1年持有混合A,-0.2200573965484981,59.7,full,1.0,2026-09-15
1355,015732,尚正新能源产业混合A,-0.22116268679122897,49.2,full,1.0,2026-09-15
1356,001230,鹏华医药科技股票A,-0.22147433709636144,135.5,full,1.0,2026-09-15
1357,006882,华泰保兴健康消费A,-0.22154307737292556,87.7,full,1.0,2026-09-15
1358,240020,华宝医药生物混合A,-0.22343264883910485,174.6,full,1.0,2026-09-15
1359,000878,中海医药健康产业精选混合A,-0.22391758866140588,140.9,full,1.0,2026-09-15
1360,005164,富荣福锦混合A,-0.22475848604743232,102.0,full,1.0,2026-09-15
1361,011174,中庚价值品质一年持有期混合,-0.22561844756754879,67.8,full,1.0,2026-09-15
1362,006233,万家汽车新趋势混合A,-0.2264109823135788,82.8,full,1.0,2026-09-15
1363,009414,中银大健康股票A,-0.2268524460234883,75.6,full,1.0,2026-09-15
1364,003655,信澳新财富混合A,-0.22739746802384986,118.1,full,1.0,2026-09-15
1365,002387,工银沪港深股票A,-0.22808061994545015,124.8,full,1.0,2026-09-15
